Name;Country;Ingredients;Instructions;Meal Type;Spice Level;Cooking Time (minutes);Vegetarian;Main Cooking Method;Serving Temperature;How to Make
Doro Wat;Ethiopia;Chicken, onions, garlic, ginger, berbere spice mix, niter kibbeh;In a pot, sauté onions, garlic, and ginger in niter kibbeh until soft. Add berbere spice mix, cook for a few minutes, then add chicken. Cook until the chicken is tender.;Main;High;90;No;Stewing;Hot;Start by preparing niter kibbeh, a spiced clarified butter. Then sauté onions, garlic, and ginger in the niter kibbeh. Add berbere spice mix and stir for a few minutes. Add chicken pieces, cover, and cook until the chicken is thoroughly cooked.
Injera;Ethiopia;Teff flour, water, salt;Mix teff flour with water to create a batter. Let it ferment for 3 days. Cook on a hot skillet until bubbly and cooked through.;Side;None;10;Yes;Griddle;Room;Combine teff flour and water to form a batter. Allow to ferment for three days, then pour onto a hot skillet, cook until bubbles form, and edges lift.
Sushi;Japan;Rice, nori, raw fish, vegetables;Prepare sushi rice and let cool. Place a sheet of nori on a bamboo mat, spread rice evenly, add fillings, roll tightly, and slice.;Main;None;30;No;No-cook;Cold;Rinse and cook sushi rice, season with vinegar, sugar, and salt. Let cool, then spread on nori sheets, add fillings, roll, and cut into pieces.
Tacos;Mexico;Tortillas, beef, lettuce, tomato, cheese, salsa;Cook beef with spices. Warm tortillas, fill with beef, and top with lettuce, tomato, cheese, and salsa.;Main;Medium;20;No;Grilling;Hot;Brown the ground beef with spices, warm the tortillas, assemble with beef and desired toppings.
Paella;Spain;Rice, saffron, chicken, seafood, vegetables;Cook chicken in a pan, add vegetables, then rice, and broth with saffron. Simmer until rice is cooked, add seafood last.;Main;Medium;45;No;Sautéing;Hot;Sauté chicken until browned, add vegetables, then rice and saffron-infused broth. Simmer and add seafood towards the end.
Falafel;Middle East;Chickpeas, herbs, spices, onion, garlic;Blend chickpeas with herbs, spices, onion, and garlic. Form into balls and fry until golden brown.;Appetizer;Low;15;Yes;Frying;Hot;Soak chickpeas overnight, blend with herbs and spices, shape into balls, fry until crisp and golden.
Pasta Carbonara;Italy;Pasta, eggs, pancetta, Parmesan cheese, garlic;Boil pasta. Cook pancetta with garlic, toss with pasta, eggs, and cheese until creamy.;Main;Low;20;No;Boiling;Hot;Boil pasta until al dente, cook pancetta, mix pasta with eggs, cheese, and pancetta to create a creamy sauce.
Tom Yum Soup;Thailand;Shrimp, lemongrass, galangal, lime leaves, chilies;In a pot, boil water with lemongrass, galangal, and lime leaves. Add chilies, shrimp, and simmer until cooked.;Soup;High;30;No;Boiling;Hot;Boil broth with lemongrass, galangal, lime leaves, and chilies. Add shrimp and simmer until cooked.
Chana Masala;India;Chickpeas, tomatoes, onions, spices;Cook onions with spices, add tomatoes and chickpeas, simmer until thickened.;Main;Medium;30;Yes;Sautéing;Hot;Sauté onions and spices, add tomatoes, then chickpeas, simmer until sauce is thickened.
Goulash;Hungary;Beef, onions, paprika, potatoes, carrots;Brown beef, add onions and paprika. Add broth, potatoes, and carrots. Simmer until meat is tender.;Main;Medium;120;No;Stewing;Hot;Brown beef cubes, add onions and paprika, pour in broth, add potatoes and carrots, simmer until tender.
